iter	Passed	Remaining
0	0	331
1	0	318
2	0	311
3	1	285
4	1	280
5	1	267
6	1	261
7	2	253
8	2	246
9	2	242
10	2	239
11	2	235
12	3	233
13	3	229
14	3	227
15	3	225
16	3	224
17	4	223
18	4	222
19	4	222
20	4	220
21	4	219
22	5	221
23	5	223
24	6	252
25	6	249
26	6	248
27	7	246
28	7	244
29	7	245
30	7	243
31	7	240
32	8	239
33	8	238
34	8	236
35	8	234
36	8	232
37	9	231
38	9	230
39	9	228
40	9	228
41	9	226
42	10	225
43	10	225
44	10	224
45	10	223
46	10	222
47	11	222
48	11	221
49	11	220
50	11	220
51	12	219
52	12	218
53	12	217
54	12	217
55	12	216
56	13	215
57	13	214
58	13	213
59	13	213
60	13	213
61	14	212
62	14	211
63	14	211
64	14	211
65	14	211
66	15	210
67	15	210
68	15	209
69	15	209
70	16	210
71	16	209
72	16	209
73	16	208
74	16	209
75	17	210
76	17	209
77	17	209
78	17	209
79	18	208
80	18	208
81	18	208
82	18	206
83	18	205
84	19	205
85	19	205
86	19	204
87	19	204
88	19	203
89	20	203
90	20	203
91	20	202
92	20	201
93	20	201
94	21	201
95	21	200
96	21	200
97	21	199
98	21	199
99	22	199
100	22	198
101	22	198
102	22	197
103	22	197
104	23	196
105	23	196
106	23	195
107	23	195
108	23	195
109	24	195
110	24	195
111	24	195
112	24	194
113	24	194
114	25	193
115	25	194
116	25	193
117	25	192
118	26	192
119	26	192
120	26	191
121	26	190
122	26	190
123	26	190
124	27	189
125	27	189
126	27	188
127	27	188
128	27	188
129	28	187
130	28	187
131	28	186
132	28	186
133	28	186
134	28	185
135	29	185
136	29	185
137	29	185
138	29	185
139	30	184
140	30	184
141	30	183
142	30	183
143	30	182
144	30	182
145	31	182
146	31	182
147	31	181
148	31	181
149	31	181
150	32	180
151	32	180
152	32	180
153	32	179
154	32	179
155	33	179
156	33	178
157	33	178
158	33	178
159	34	178
160	34	178
161	34	178
162	34	177
163	34	177
164	35	177
165	35	176
166	35	176
167	35	176
168	35	175
169	35	175
170	36	175
171	36	175
172	36	174
173	36	174
174	36	174
175	37	173
176	37	173
177	37	173
178	37	173
179	37	173
180	38	172
181	38	172
182	38	172
183	38	171
184	38	171
185	39	171
186	39	171
187	39	171
188	39	170
189	40	170
190	40	170
191	40	170
192	40	169
193	40	169
194	41	169
195	41	168
196	41	168
197	41	168
198	41	168
199	41	167
200	42	167
201	42	167
202	42	167
203	42	167
204	43	166
205	43	166
206	43	166
207	43	166
208	43	166
209	44	165
210	44	165
211	44	165
212	44	165
213	44	164
214	45	164
215	45	164
216	45	164
217	45	164
218	45	163
219	46	163
220	46	163
221	46	163
222	46	162
223	46	162
224	47	162
225	47	162
226	47	161
227	47	161
228	47	161
229	48	160
230	48	160
231	48	160
232	48	160
233	48	159
234	49	159
235	49	159
236	49	159
237	49	158
238	49	158
239	49	158
240	50	157
241	50	157
242	50	157
243	50	157
244	50	157
245	51	156
246	51	156
247	51	156
248	51	156
249	51	155
250	52	155
251	52	155
252	52	155
253	52	155
254	52	154
255	53	154
256	53	154
257	53	154
258	53	153
259	53	153
260	54	153
261	54	153
262	54	153
263	54	152
264	55	152
265	55	152
266	55	152
267	55	151
268	55	151
269	55	151
270	56	151
271	56	150
272	56	150
273	56	150
274	56	150
275	57	149
276	57	149
277	57	149
278	57	149
279	57	148
280	58	148
281	58	148
282	58	148
283	58	148
284	58	147
285	59	147
286	59	147
287	59	147
288	59	147
289	59	146
290	60	146
291	60	146
292	60	146
293	60	145
294	60	145
295	61	145
296	61	145
297	61	144
298	61	144
299	61	144
300	62	144
301	62	144
302	62	144
303	62	143
304	63	143
305	63	143
306	63	143
307	63	143
308	63	142
309	64	142
310	64	142
311	64	142
312	64	141
313	64	141
314	65	141
315	65	141
316	65	140
317	65	140
318	65	140
319	65	140
320	66	139
321	66	139
322	66	139
323	66	139
324	66	138
325	67	138
326	67	138
327	67	138
328	67	138
329	67	137
330	68	137
331	68	137
332	68	137
333	68	137
334	68	136
335	69	136
336	69	136
337	69	136
338	69	135
339	69	135
340	70	135
341	70	135
342	70	135
343	70	134
344	70	134
345	71	134
346	71	134
347	71	134
348	71	133
349	71	133
350	72	133
351	72	133
352	72	132
353	72	132
354	72	132
355	73	132
356	73	131
357	73	131
358	73	131
359	73	131
360	74	131
361	74	130
362	74	130
363	74	130
364	74	130
365	75	130
366	75	129
367	75	129
368	75	129
369	75	129
370	76	128
